data,mm,temp_mean,temp_max,temp_min,feriado,qnt_delivery,qnt_pickup,qnt_local
2022-10-22,0.0,18.20952380952381,18.88095238095238,17.447619047619046,0,2783,689,146
2022-10-23,0.0,20.004166666666663,20.7,19.254166666666663,0,2248,445,89
2022-10-24,0.0,20.566666666666663,21.29583333333333,19.854166666666668,0,1070,230,56
2022-10-25,0.0,22.15217391304348,22.882608695652173,21.378260869565217,0,1216,251,72
2022-10-26,0.0,24.59166666666667,25.2,23.933333333333334,0,1435,348,91
2022-10-27,8.2,19.78333333333333,20.666666666666668,19.275,0,1364,358,105
2022-10-28,0.0,22.09583333333333,22.804166666666664,21.275,0,2213,587,109
2022-10-29,19.2,19.45833333333333,20.183333333333334,19.10833333333333,0,2886,804,166
2022-10-30,15.0,18.8625,19.2375,18.4875,0,2358,435,49
2022-10-31,11.4,15.745833333333332,16.245833333333334,15.533333333333331,0,1261,233,57
2022-11-01,0.0,10.508695652173913,11.07391304347826,9.969565217391304,1,1776,478,99
2022-11-02,0.0,11.9625,12.583333333333334,11.2875,2,2342,476,85
2022-11-03,0.0,15.666666666666666,16.329166666666666,14.9625,0,1325,317,79
2022-11-04,0.0,17.245833333333334,17.958333333333332,16.391666666666666,0,2251,583,127
2022-11-05,0.0,18.071428571428573,18.866666666666667,17.271428571428572,0,3024,680,179
2022-11-06,0.0,18.139130434782608,18.97391304347826,17.565217391304348,0,2502,513,72
2022-11-07,0.0,17.3625,18.141666666666666,16.758333333333333,0,1436,275,63
2022-11-08,0.0,17.733333333333334,18.504166666666663,17.008333333333333,0,1483,302,91
2022-11-09,0.0,19.03043478260869,19.83043478260869,18.20434782608696,0,1577,404,96
2022-11-10,0.0,21.639130434782608,22.38695652173913,20.68695652173913,0,1736,351,100
2022-11-11,0.0,20.13478260869565,20.9608695652174,19.33043478260869,0,2335,555,135
2022-11-12,2.4000000000000004,20.4375,21.2,19.85,0,3148,756,128
2022-11-13,18.2,18.786363636363635,19.13181818181818,18.21818181818182,0,2564,482,47
2022-11-14,0.0,20.716666666666665,21.40833333333333,20.14583333333333,1,1806,414,122
2022-11-15,0.0,19.139130434782608,19.85217391304348,18.57391304347826,2,2086,432,107
2022-11-16,0.0,21.1375,21.916666666666668,20.291666666666668,0,1228,303,79
2022-11-17,0.0,22.17826086956521,22.843478260869563,21.48260869565217,0,1433,327,58
2022-11-18,0.0,23.016666666666666,23.75,22.175,0,2104,571,120
2022-11-19,0.0,23.8,24.45909090909091,22.95,0,2689,690,109
2022-11-20,0.0,23.941666666666663,24.741666666666664,23.10833333333333,0,2303,461,74
2022-11-21,9.0,23.02272727272728,23.85,22.595454545454547,0,1270,266,66
2022-11-22,8.6,20.517391304347825,21.02608695652174,19.94782608695652,0,1290,286,61
2022-11-23,0.0,21.057142857142857,21.685714285714283,20.48095238095238,0,1427,352,53
2022-11-24,0.0,22.569565217391304,23.15217391304348,21.730434782608697,0,1809,374,119
2022-11-25,0.0,23.08695652173913,23.717391304347824,22.404347826086955,0,2313,590,202
2022-11-26,0.0,22.969565217391303,23.686956521739127,22.26521739130435,0,2585,682,173
2022-11-27,0.0,23.008333333333336,23.75,22.34166666666667,0,2221,472,44
2022-11-28,0.0,21.97083333333333,22.64583333333333,21.39583333333333,0,1266,255,63
2022-11-29,0.0,21.979166666666668,22.75,21.258333333333333,0,1457,300,60
2022-11-30,0.0,21.758333333333336,22.59583333333333,21.133333333333333,0,1864,444,97
2022-12-01,0.0,22.61304347826087,23.36521739130435,21.81304347826087,0,1890,439,118
